Date,Bitcoin,S&P 500
09/2022,35993440.96224867,54269.37515477574
10/2022,37345685.394391775,57680.838869746454
11/2022,29889468.484965306,58192.50292006893
12/2022,27989593.099568725,53348.71256642747
01/2023,38561011.49266132,55826.748359323385
02/2023,39353423.10952067,55562.1884172485
03/2023,47296344.82758621,56246.148740651
04/2023,48088260.40433476,56572.66913062726
05/2023,46021079.05082842,58403.52293950633
06/2023,50648473.44929137,61213.97112256036
07/2023,47898479.31597569,62280.56612183103
08/2023,43098707.21383879,62163.09680706235
09/2023,45976342.74117426,60730.38467795614
10/2023,58956993.36095677,59313.44534438817
11/2023,62327274.49455678,62882.72083845794
12/2023,69075576.92307693,65031.55772953247
01/2024,70933272.58466364,67424.02189984622
02/2024,102043281.2211343,71096.34985971857
03/2024,119099557.16399966,73485.67144809604
04/2024,102180024.25825715,71095.73592924916
05/2024,112311399.97235535,73699.613507197
06/2024,105752942.5502102,77392.43433832526
07/2024,107781146.10269672,77444.65927373935
08/2024,96066694.10119961,77470.14130766905
09/2024,102125078.15291177,78354.34344847499
10/2024,116573004.73258592,79884.2379482117
11/2024,164927623.79284227,87135.83817747922
